Name,Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI
Myra,36,Male,68.2,1.91,188,131,69,2,1162,Strength,33.1,1.5,3,3,
Saanvi,44,Male,56.1,1.68,191,152,69,1.8,1223,Strength,15.4,2.6,4,2,17.28
Yuvan,24,Male,51.7,1.93,182,158,70,,1783,Yoga,24.4,2.7,2,1,16.29
Kabir,51,Male,65.8,1.62,191,169,74,1.36,1073,HIIT,28.2,3.5,2,,21.21
Tia,32,Female,40,1.88,174,148,50,1.94,1436,Strength,27.4,,2,3,12.32
Ishaan,45,Male,59.5,1.61,194,121,55,1.3,741,Cardio,24.5,2,4,3,21.71
Riya,58,Male,73.5,1.93,175,169,61,1.45,1019,HIIT,14,2.7,2,2,14.74
Reyansh,21,Male,54.7,1.56,191,157,55,1.13,682,\tCardio,25.2,1.5,4,2,
Advait,18,Female,52.1,1.73,183,135,74,1.4,1141,Cardio,23.9,3.1,3,1,12.32
Sara,59,Female,60.6,1.92,180,168,55,1.46,1046,,24.6,2,3,3,30.51
Vihaan,20,Female,104.3,1.79,197,158,72,1.3,933,Strength,23.4,3.2,2,3,16.4
Arjun,39,Female,65.3,1.61,187,141,74,1.69,1783,HIIT,30.3,3.4,3,3,21.86
Ishaan,52,Male,47.8,1.79,168,144,68,0.95,715,Cardio,27.3,2.4,5,3,17.21
Saanvi,18,Female,51.1,1.83,180,130,57,1.05,939,Strength,17,3,3,2,16.85
Aryan,34,Male,62.5,1.87,185,167,73,0.96,1353,Cardio,29.6,2.3,4,1,31.91
Tia,59,Female,57.4,1.56,190,156,72,1.15,813,Cardio,18.5,2.7,3,2,25.59
Krishna,37,Male,108.7,1.55,163,122,68,1.19,1104,Strength,26.9,1.6,4,2,26.23
Aryan,41,Female,40,1.6,164,143,73,1.52,727,Yoga,23.5,3.4,5,2,15.53
Aarav,53,Female,65.2,1.72,196,152,50,1.87,1073,Cardio,24.8,3.7,,1,22.39
Sara,23,Male,90,1.58,172,164,60,0.78,682,Strength,25,3.2,4,1,12.32
Vihaan,28,Female,91.6,1.68,191,128,59,0.68,1783,Yoga,19.1,2.6,2,2,12.48
Zara,48,Female,84.1,1.69,187,136,56,1.68,758,Strength,22.2,2.3,3,3,16.11
Kabir,43,Female,57.8,1.57,190,142,56,1.39,698,Strength,21.3,1.6,4,1,20.73
Advait,55,Female,100,1.63,183,155,74,2,1256,Cardio,10.5,2.4,3,2,12.32
Anaya,30,Female,61.9,1.55,181,150,72,1.93,1117,HIIT,27.1,3.6,3,2,12.32
Kabir,19,Male,58.6,1.64,187,135,66,1.18,1564,Yoga,10,3.4,3,2,21.91
Saanvi,21,Male,80.8,1.8,195,137,64,1.1,1285,Cardio,29.8,2.7,3,3,21.28
Advait,21,Female,42.7,1.81,166,139,71,1.42,1044,Cardio,26,3.2,3,3,12.32
Yuvan,29,Male,60.9,1.86,191,152,60,1.79,1108,Strength,31.5,1.5,4,3,42.08
Aarav,40,Male,78.8,1.7,176,169,63,1.78,1179,Strength,21.1,1.9,2,1,17.55
Riya,37,Female,85.3,1.69,162,136,71,1.49,859,HIIT,22.8,3.4,4,2,19.95
Yuvan,47,Female,84.8,1.58,180,157,54,0.83,940,Cardio,26.3,1.9,5,2,17.99
Myra,50,Female,72.7,1.74,191,,67,0.77,1047,Cardio,15.5,3.5,3,3,12.32
Aanya,43,Male,57.4,1.69,166,143,66,1.14,775,Strength,23.7,3.3,3,1,13.31
Zara,33,Male,40,1.81,189,157,71,1.32,1298,HIIT,20.1,3.4,2,3,16.68
Arjun,33,Female,129.9,1.56,189,138,73,2,993,Strength,34,2.3,3,2,24.54
Zara,50,Male,55,1.5,177,120,69,1.07,715,Yoga,27.2,1.7,4,2,26.53
Kabir,45,Male,,1.7,162,120,63,1.79,731,Yoga,31.7,,4,3,13.71
Kabir,18,Male,41.6,1.94,168,153,57,0.86,1068,Strength,25,3.1,4,1,19.74
Ishaan,43,Male,56.9,1.68,161,154,61,2,742,Strength,26.5,2,3,1,21.48
Myra,20,Female,84.8,1.74,165,151,59,1.49,717,HIIT,24.9,3.4,4,3,14.13
Aarav,24,Female,96.9,1.88,181,166,72,1.36,1220,Cardio,15.8,3.7,3,2,30.18
Vihaan,24,Male,81.2,1.56,182,166,66,1.62,1148,Yoga,25.5,2.7,4,3,31.34
Zara,53,Female,70.5,1.9,198,146,69,0.84,766,Cardio,31.9,2.9,5,1,16.4
Saanvi,38,Male,58.7,1.72,189,152,58,1.21,1063,HIIT,21.2,1.6,3,1,23.03
Ishaan,26,Male,62,1.65,199,142,56,1.61,1361,HIIT,35,3.5,2,3,13.96
Kabir,18,Male,100.6,1.74,179,138,68,1.2,1261,Cardio,23.2,3.5,2,2,20.9
Krishna,33,Female,63,1.71,189,126,57,1.24,1175,Strength,25.6,3.2,3,1,15.02
Meera,45,Male,52.7,1.82,172,129,69,0.62,1783,Yoga,22.9,3.2,3,1,24.95
Anaya,29,Male,79.4,1.71,186,124,74,2,877,Yoga,29.6,1.5,3,2,27.97
Tia,18,,87.4,1.87,182,162,65,,1303,Strength,27.6,3.6,2,3,12.32
Vivaan,57,Female,57.6,1.86,169,120,73,1.99,929,HIIT,22.9,2.4,,2,14.02
Vihaan,37,Male,108.5,1.97,192,120,74,2,1091,Cardio,27.2,1.5,2,1,23.59
Meera,52,Female,75.7,1.61,,139,64,2,1783,Yoga,24.6,2.8,2,2,17.49
Meera,34,Female,73.9,1.75,192,165,74,1.64,816,Cardio,35,1.5,3,2,22.1
Anaya,57,Male,67.9,1.78,187,163,59,2,1168,Yoga,23.9,3.7,3,2,
Anaya,36,Male,72.8,1.63,184,130,68,1.44,669,HIIT,25.1,1.7,3,3,12.32
Anaya,34,Female,57.6,1.7,167,141,68,0.88,710,Cardio,14.7,1.5,3,2,15.66
Saanvi,48,Female,49.3,1.74,179,142,74,1.31,723,HIIT,19.2,3.5,4,3,19.2
Tia,18,Male,41.6,1.85,181,169,52,2,1130,Yoga,14.5,3.4,5,3,12.32
Aryan,33,Male,65.6,1.87,189,168,56,1.16,1437,Yoga,16.3,3.5,2,1,17.53
Meera,35,Female,47.5,1.81,,124,69,1.78,533,Yoga,26.4,3.2,3,2,26.59
Sara,19,,86.3,1.89,164,131,74,0.97,1175,HIIT,19.5,2.4,,2,28.62
Myra,43,Female,73.6,1.79,170,169,72,1.16,1408,Strength,17.4,1.5,4,1,14.69
Arjun,48,,40,2,194,159,70,1.48,419,Cardio,13.5,2.5,4,2,21.29
Reyansh,49,Female,56,1.6,183,169,66,0.98,1263,Strength,27.9,1.7,5,1,20.47
Zara,48,Female,40,1.66,189,120,74,1.36,614,Cardio,14.8,2.1,3,1,12.32
Sara,44,Female,88.2,1.88,192,169,51,2,1783,HIIT,28.5,1.9,4,2,12.32
Krishna,27,Female,55.8,1.67,192,167,74,2,642,Yoga,28.8,3.4,3,2,28.68
Arjun,41,Male,73.2,1.75,190,137,58,1.24,1048,Strength,30.4,3.4,2,3,23.65
Aryan,44,Male,40,1.72,179,124,74,0.85,1043,Cardio,22.8,2.1,5,3,20.78
Tia,54,Male,58.5,1.96,185,133,60,2,1131,Yoga,13.1,2.5,3,1,18.11
Saanvi,45,Female,57.5,1.55,190,123,54,1.33,893,HIIT,28.8,3.3,3,1,17.65
Meera,24,Female,55.6,1.73,175,120,71,1.09,775,Yoga,17.2,3,4,2,22.74
Kabir,55,Female,,1.83,194,162,72,1.99,1374,HIIT,27.6,2,3,1,17.74
Advait,32,Female,42.4,1.79,176,135,56,1.63,843,Yoga,27.1,1.5,2,2,18.17
Kabir,18,,40,1.68,163,137,61,1.1,1470,Cardio,31.7,1.7,4,3,19.34
Saanvi,33,Female,77,1.69,191,154,58,1.16,1187,Cardio,29.1,3.2,4,2,12.32
Vihaan,28,Female,74.7,1.69,163,158,58,1.37,854,HIIT,14,3.4,4,2,13.79
Meera,59,Male,65.1,1.68,161,144,62,2,1050,Strength,26.1,2,5,3,23.59
Aarav,21,Female,40,1.8,176,122,73,1.37,1171,HIIT,10,3.7,3,1,19.84
Advait,23,Male,64.3,1.58,160,123,62,1.02,1360,Strength,22,3.4,4,1,19.45
Kabir,20,Female,43.6,1.6,165,141,60,1.37,1783,Strength,16.9,1.5,4,1,15.52
Saanvi,21,Male,100.4,1.62,188,128,73,1.4,614,Strength,29.3,3.3,2,1,33.21
Yuvan,48,Female,73.8,1.88,191,151,59,1.88,1783,Cardio,19.2,2,4,1,12.32
Vivaan,23,Male,52.3,1.74,184,122,65,1.38,915,Yoga,10,3.5,4,1,18.17
Saanvi,51,Male,57.3,1.71,188,169,50,1.09,1375,Strength,28.1,3.6,2,3,19.69
Aanya,30,Male,70.7,1.64,196,136,,1.38,1608,Cardio,13,1.6,5,2,20.83
Reyansh,20,Male,92.8,2,195,154,58,1.44,676,Yoga,24.3,1.5,4,2,16.6
Sara,18,Male,56.2,1.75,164,127,57,1.45,952,Strength,29.6,3.5,4,3,17.29
Aarav,24,Female,65.3,1.74,178,168,63,1.12,984,HIIT,25.6,3.3,4,2,19.87
Zara,37,Male,60.2,1.76,194,169,72,1.7,1114,Yoga,31.4,1.8,4,2,32.81
Aarav,54,Female,56.6,1.67,199,123,60,1.09,962,Strength,25,3.1,5,2,12.32
Yuvan,30,Female,40,1.83,188,137,71,1.47,1783,,26.9,3.6,5,3,20.31
Myra,21,,105.4,1.77,188,169,72,1.45,999,Strength,22.5,3.7,3,3,25.09
Advait,34,Male,63.8,1.8,192,129,54,1.92,1229,Cardio,13.8,3.1,4,2,14.24
Aanya,42,Female,58.4,1.7,164,156,50,1.43,1427,Strength,23.6,2.5,,1,16.68
Arjun,43,Female,43.9,1.82,173,164,72,1.61,567,HIIT,16.3,3.2,3,1,19.29
Yuvan,24,Male,46,1.71,\n175,126,59,1.18,1725,Strength,26.1,1.5,2,1,15.44
Arjun,37,Female,58,1.89,\t182,163,72,1.39,1156,Yoga,26,3.4,5,2,23.79
Krishna,55,Female,91.1,1.85,190,149,74,1.49,649,Strength,31.8,3,3,1,29.5
Ishaan,43,Female,40,1.55,172,159,59,1.28,1480,Yoga,19.9,3,3,3,21.42
Reyansh,59,Male,40,,185,132,50,1.32,1266,HIIT,22.7,2.3,4,3,12.32
Riya,49,Female,40,1.89,192,168,50,1.51,837,Strength,29.4,3.5,3,1,16.63
Aryan,27,Female,96.8,1.73,174,136,71,1.91,887,Strength,31.7,2.6,3,2,19.05
Reyansh,18,Male,80.5,,196,159,55,2,816,Yoga,25.2,2.3,2,1,22.13
Advait,36,Male,69,1.76,191,153,73,1.01,1276,,16.7,2.9,4,1,13.89
Aarav,20,Male,43.5,1.52,189,146,63,2,1213,Strength,24.3,2.5,4,2,25.35
Vivaan,55,Male,54.2,1.62,197,127,56,1.18,335,Strength,28.3,2.4,2,1,20.94
Krishna,34,Male,59.8,1.77,186,151,55,0.97,792,Yoga,23,2.1,3,2,24.41
Reyansh,18,Female,52.2,1.75,171,165,72,1.45,570,Strength,26.1,3.4,4,1,12.48
Sara,40,Male,45.4,1.84,167,156,50,1.13,771,Cardio,11.5,3.5,4,2,12.32
Vivaan,28,Female,62.1,1.68,191,130,74,0.85,1098,Strength,13.9,2.8,4,2,28.14
Krishna,26,Male,72.8,1.57,196,138,61,1.04,1382,Strength,29.8,3.4,2,3,16.61
Sara,27,Female,73.5,1.92,168,155,50,1.18,1048,Strength,14.2,3.4,5,2,18.37
Vihaan,22,Male,78.4,1.66,182,168,70,1.67,495,Strength,10,2.5,3,,19.29
Advait,51,Female,87.1,1.77,185,126,60,1.46,990,Cardio,21.1,3.4,2,1,12.9
Zara,45,Male,76.3,1.67,177,168,50,1.41,1013,Cardio,11.6,3.1,3,3,14.42
Riya,33,Female,75.5,1.85,181,147,59,1.22,1267,HIIT,21.8,2.8,3,2,18.19
Meera,44,Female,49.3,1.55,193,168,72,1.48,918,Cardio,21.5,3.6,5,1,21.77
Tia,56,Female,92,1.86,184,167,71,1.56,999,Cardio,24.2,2.1,5,3,31.52
Krishna,35,Male,44,1.59,168,144,54,1.39,1040,,29,3.4,2,2,27.49
Advait,46,Male,92.6,1.76,197,144,74,0.96,1291,HIIT,13.8,3.3,2,2,12.37
Meera,59,,50.2,1.6,174,169,55,1.33,,Strength,,1.5,4,2,13.4
Aanya,23,Male,83,1.74,160,120,72,1.35,1628,Yoga,21,3.3,5,2,15.13
Advait,21,Female,78.5,1.8,179,169,59,1.64,683,Yoga,23.9,2.7,4,1,22.33
Sara,56,Female,56.2,1.69,198,155,74,1.64,1486,Cardio,24.4,1.8,2,1,21.59
Yuvan,58,Male,87.4,1.64,188,148,57,0.56,1249,Strength,10,3.5,3,3,16.94
Arjun,26,Male,92.2,1.59,176,143,55,1.57,1050,Strength,24.5,2.4,4,2,23
Ishaan,18,Male,83.1,1.94,188,153,56,1.41,1180,Yoga,24.4,3.3,3,2,17.84
Saanvi,36,Female,47.1,1.72,194,145,50,,843,Strength,21.8,1.9,3,1,17.46
Anaya,18,Male,53.1,1.7,181,169,73,1.01,1740,Strength,23.8,2.3,4,1,
Vivaan,53,Female,76.2,1.67,185,142,68,1.55,804,HIIT,25.5,3.4,3,1,18.46
Arjun,46,Female,48.4,1.82,163,163,68,1.51,1221,HIIT,19.2,3.7,5,2,12.32
Saanvi,24,Female,47.3,1.92,189,155,74,1.4,505,HIIT,29.5,3.4,5,2,12.34
Aryan,46,Male,91.8,,191,152,71,1.32,927,Cardio,26.8,1.8,3,1,23.11
Yuvan,31,Female,71.4,1.68,180,143,68,1.37,606,Yoga,23.8,3.2,2,2,21.59
Arjun,24,Male,103.6,1.88,175,154,60,1.55,436,Yoga,20.9,3.2,3,1,13.85
Myra,35,Female,81,1.78,196,151,67,2,1246,HIIT,10,3.3,3,1,19.74
Reyansh,55,Female,94.9,1.52,196,120,73,2,1309,HIIT,27.9,1.5,2,,12.32
Sara,21,Female,80,1.67,167,169,57,0.94,899,\nStrength,29.8,3.1,3,2,17.15
Arjun,29,Female,40,1.77,191,169,58,1.2,613,Strength,22.2,2.2,4,2,29.56
Aarav,35,Male,69.5,1.68,172,155,59,1.78,1350,HIIT,23.6,1.6,3,,16.62
Arjun,37,Male,48.3,1.81,167,134,69,1.97,1276,Yoga,26.1,1.8,3,2,20.81
Arjun,18,Male,44.8,1.67,193,137,61,1.3,719,Yoga,21.6,2.3,4,1,12.32
Aryan,54,Male,68.9,1.78,187,155,60,1.42,913,,30.7,3.4,3,1,17.82
Ishaan,44,Female,63.6,1.77,161,169,50,1.57,1283,Cardio,17.8,2.1,3,,17.92
Myra,27,Female,40,1.72,178,132,72,0.83,857,Cardio,27.3,3.2,4,2,17.8
Aarav,35,Female,66.7,1.72,171,153,65,1.15,776,HIIT,18.7,2.5,4,1,22.98
Aanya,44,Male,47.3,1.72,198,164,70,1.46,1103,Strength,26.7,1.5,4,,23.85
Kabir,39,Female,70.3,1.74,170,152,59,2,864,Cardio,20.4,1.5,3,2,17.03
Meera,49,Female,74.7,1.81,176,132,,1.81,758,Yoga,23.9,1.7,3,2,14.58
Aarav,26,Male,57.8,1.61,162,135,65,1.91,684,Yoga,18.2,3.7,3,1,12.32
Aryan,18,Male,40,1.72,193,138,74,1.41,726,Yoga,28,3.7,2,3,32.62
Aarav,33,Male,79.8,1.53,172,148,72,1.98,1132,Yoga,14.7,1.7,3,2,16.6
Ishaan,18,,75.8,1.99,191,167,71,1.53,850,HIIT,10,3.5,4,1,15.4
Aryan,47,Female,74.7,1.77,195,130,68,1.93,1056,HIIT,22.1,3.4,4,2,24.44
Reyansh,40,Female,83.6,1.84,175,137,,1.46,1481,Cardio,23,2.5,5,1,20.2
Yuvan,38,Male,101.8,1.51,163,169,72,1.42,1384,Strength,25.6,3.3,4,1,20.89
Riya,25,Female,56.8,,191,150,61,2,1183,Strength,24.3,1.7,3,1,19.28
Krishna,42,Female,86.7,1.7,196,135,68,1.22,923,Strength,27.2,3.2,3,2,17.49
Vivaan,18,Male,40.9,1.87,160,140,50,1.28,1261,HIIT,17.1,2.1,4,2,39.61
Saanvi,28,Male,87.3,1.51,190,168,56,2,1306,Yoga,32,2.3,4,2,14.46
Arjun,26,Male,89.2,1.81,161,169,61,1.34,820,Strength,23.5,2.6,4,1,27.63
Saanvi,23,Male,75.9,1.81,196,125,55,1.4,1177,HIIT,30,,3,2,12.32
Vihaan,30,Male,100.1,1.76,170,160,55,1.43,1694,HIIT,25.9,1.8,3,2,15.73
Meera,18,Female,80.8,1.85,188,141,74,1.19,838,Yoga,12.1,3.5,2,1,14.81
Arjun,58,Female,68.6,1.72,164,155,72,1.23,797,Yoga,27.2,2.5,2,1,12.32
Aanya,46,Female,45.7,1.96,168,137,64,1.38,1303,Strength,29.8,3.3,2,2,22.82
Kabir,19,Female,55.2,1.71,172,136,74,1.93,670,Yoga,10,3.1,4,1,20.85
Tia,31,Female,91.7,1.74,172,166,56,1.28,892,Yoga,19.8,3.1,4,3,12.32
Anaya,47,Male,78.7,1.69,170,144,57,1,845,Yoga,24.5,1.9,4,1,22
Aarav,28,Female,40,1.57,165,169,68,1.04,669,Cardio,30.2,2.6,2,2,15.05
Advait,22,Male,47.1,1.87,165,132,68,0.72,674,Strength,31.7,3.2,2,2,34.98
Kabir,23,Male,85.1,1.79,194,138,55,1.16,829,Strength,23.7,2.6,4,2,19.2
Zara,48,Female,87.9,1.5,180,164,68,1.41,974,Yoga,22.1,2.6,4,1,13.04
Tia,24,Female,74.2,1.58,177,140,71,1.28,780,Strength,23.6,1.9,4,2,30.92
Ishaan,33,Male,,1.8,160,155,74,1.26,906,Yoga,23.9,3.2,4,1,18.21
Tia,22,Male,49.6,1.87,190,137,54,1.6,1326,HIIT,30.5,1.9,5,1,14.25
Krishna,18,Male,63.9,1.86,161,147,51,1.83,1178,Strength,24,3.3,2,1,24.05
Vivaan,43,Male,75,1.8,170,141,61,1.09,790,Yoga,32.8,2.4,3,2,
Reyansh,54,Male,69.8,1.75,170,131,72,1.29,954,Strength,32,3.2,2,1,21.66
Tia,42,Female,40.5,1.64,196,137,59,1.12,1150,Yoga,13.4,3.7,5,2,12.32
Vihaan,18,Female,43.8,1.96,193,142,50,1.03,1590,Strength,29.7,3.6,2,3,21.88
Ishaan,24,Female,45.7,1.63,199,144,71,0.94,1137,Yoga,19.6,1.8,2,3,12.32
Advait,43,Male,40,1.73,161,146,69,,1359,Cardio,21.3,2.5,2,3,12.61
Vivaan,25,Male,40.8,1.69,194,145,54,1.65,1353,HIIT,24.4,2.5,4,1,22.31
Zara,59,Male,82,1.51,185,121,70,1.82,625,Strength,28.5,2.2,4,3,24.72
Yuvan,29,Female,60.9,1.92,192,151,67,1.5,1407,Cardio,18,3.5,5,1,43.3
Krishna,27,Male,55,1.68,169,136,64,1.07,1389,Cardio,24.6,2.1,4,2,18.54
Saanvi,23,Female,59,1.62,193,162,56,,670,Cardio,17.6,1.6,5,1,17.71
Krishna,34,Female,80,2,173,125,56,1.82,773,Strength,22.3,2.8,4,2,14.62
Meera,24,Male,44.3,1.65,189,129,56,1.9,972,Yoga,27.8,3.3,2,1,15.86
Meera,24,Male,63.6,1.74,199,135,61,1.31,486,HIIT,26.1,2.2,2,3,25.85
Krishna,29,Female,50.2,1.89,197,125,51,1.46,1286,Strength,27.6,3.3,2,3,15.27
Arjun,58,Male,43.6,1.67,176,142,74,1.13,1089,HIIT,26.7,3.4,4,2,28.29
Ishaan,38,Male,60.5,1.72,187,139,50,1.34,1096,Yoga,20.9,3.7,4,2,25.58
Vivaan,34,Male,92.4,1.79,,128,52,0.52,724,Cardio,25.3,3.1,5,3,12.85
Advait,39,Female,76.7,1.86,193,122,65,1.29,1770,\tYoga,23.1,3.2,3,1,17.75
Ishaan,38,Male,,1.7,181,144,56,1.47,574,HIIT,26.3,2.6,4,1,14.96
Zara,18,Male,71.9,1.88,177,159,57,2,1571,Yoga,10,2.4,3,2,15.96
Advait,25,Female,59.2,1.84,168,160,51,1.53,1476,Yoga,25.1,3.7,4,2,13.81
Meera,27,Male,57.4,1.89,193,128,51,0.92,1121,Yoga,22.4,3.5,4,2,16
Yuvan,33,Male,69.5,1.75,178,131,74,1.51,1651,Strength,32.4,1.6,3,3,21.58
Riya,23,Male,47.4,1.96,161,142,65,1.18,441,Cardio,18.7,1.6,3,1,21.34
Reyansh,33,Male,76.5,1.75,198,139,57,1.22,984,Strength,12.5,3.4,3,1,32.82
Saanvi,18,Female,53.5,1.68,198,134,74,1.9,368,HIIT,28.1,3.1,5,2,23.57
Myra,25,Female,83.1,1.72,182,167,67,0.89,771,Strength,23.8,2.3,4,1,12.32
Reyansh,47,Female,70.4,1.93,177,153,74,1.28,846,Strength,23.5,1.6,3,2,12.32
Saanvi,39,Female,50.3,1.94,164,160,66,0.58,992,Cardio,10,2.9,4,1,14.72
Advait,28,Female,65.3,1.68,161,145,73,0.72,408,HIIT,32.4,1.7,5,,25.26
Meera,20,Male,66.2,1.85,196,120,58,0.84,420,HIIT,24.9,1.5,4,1,12.32
Vihaan,19,Female,51.4,1.84,169,152,58,1.14,1175,\tCardio,20.9,3.5,5,3,16.95
Yuvan,58,Female,78.3,1.52,176,123,74,1.49,1063,Cardio,30.5,3.4,3,2,25.33
Tia,31,Female,79.4,1.56,171,126,69,1.42,963,Cardio,21.3,3.1,3,3,26.3
Tia,25,Male,72.5,1.78,177,142,67,1.99,1047,HIIT,27.4,3,4,3,12.32
Advait,21,Male,92.1,1.77,175,167,74,1.66,737,Cardio,25.3,3.3,4,2,17.16
Saanvi,55,Female,72.6,1.55,191,137,50,2,1084,Cardio,24.1,2.5,3,2,19.76
Aanya,40,Male,76.7,1.68,177,133,57,0.89,984,Cardio,27.3,3.1,2,3,23.76
Aanya,39,Male,91,1.73,165,169,72,1.49,813,Strength,23.3,3.4,2,3,22.08
Saanvi,26,Female,78.3,1.58,184,141,68,1.5,1436,Yoga,15,3.7,3,1,28.61
Aarav,26,Female,54.2,1.64,190,151,65,0.82,1184,Yoga,16.7,3.3,2,1,19.39
Riya,42,Male,108.5,1.85,,167,74,1.39,801,Cardio,29,3,2,3,15.62
Anaya,18,Male,83.2,1.62,169,156,57,1.37,871,Cardio,10,2.5,4,,18.69
Yuvan,19,Female,64.8,1.6,189,149,59,0.5,880,\tYoga,22.3,1.9,4,2,21.61
Yuvan,25,Female,45.5,1.58,182,136,69,2,1137,Yoga,17.4,1.7,2,2,15.04
Advait,42,Female,59,1.89,175,142,63,1.25,1092,HIIT,27.7,3.5,5,1,17.68
Riya,43,Female,89.2,1.73,163,135,67,1.51,1367,Yoga,14.5,3.5,3,1,25.4
Meera,47,Female,108.3,1.67,176,169,69,1.07,1204,Yoga,27.6,3.7,2,2,13.44
Aanya,30,Male,87.9,1.62,178,138,65,1.68,1205,Yoga,20.9,2.6,4,,34.99
Sara,48,Female,45.9,1.94,169,141,74,1.13,1507,Cardio,29.1,3.2,5,2,12.32
Vihaan,18,Male,107,1.75,177,155,71,2,645,Strength,27,3.2,5,2,27.94
Aryan,39,Male,40.7,1.84,197,145,55,1.48,1128,Strength,25.3,1.5,4,1,22.28
Yuvan,18,Male,65.3,1.6,177,153,74,0.96,,Yoga,23.6,2.4,4,1,18.84
Aanya,50,Female,88.5,2,181,146,72,1.33,1088,Cardio,11.9,2.3,4,1,17.26
Zara,27,Female,62.5,1.67,186,129,65,1.2,1783,Strength,23.2,1.5,3,2,26.22
Zara,43,Female,79,1.73,186,158,55,1.2,1146,Cardio,25.2,3.6,4,2,19.64
Tia,27,Female,40,1.85,177,156,65,1.58,1014,Cardio,24,3.7,5,3,22.49
Yuvan,19,Male,51.8,1.6,176,159,72,1.14,574,Cardio,25.3,2,4,2,16.69
Arjun,38,Female,89.3,1.58,184,135,58,1.58,995,HIIT,24,2.9,4,3,19.02
Aanya,27,,80,1.86,177,153,74,0.9,886,Strength,25.1,1.6,2,1,19.41
Advait,33,Male,40,1.75,185,125,54,2,870,Yoga,18.7,1.8,3,1,17.77
Saanvi,50,Female,102.6,1.62,198,138,66,1.48,1149,HIIT,10,2.7,5,2,18.48
Aarav,18,Male,69.2,1.62,164,167,62,1.5,1721,HIIT,25,2.3,5,1,33.3
Zara,19,Male,75.3,1.67,166,130,58,1.22,928,HIIT,27.4,3.2,3,2,23.17
Yuvan,45,Male,45.9,1.51,195,142,57,1.64,303,Cardio,29.8,2.7,3,1,12.32
Krishna,59,Male,66.9,1.57,178,120,71,1.44,1153,Yoga,27.5,3.3,2,2,20.4
Saanvi,42,Female,50.3,1.69,199,159,69,0.95,1293,Yoga,14.8,3.2,3,2,
Myra,32,Male,68.7,1.77,186,,63,1.85,1118,Yoga,28.5,3.5,3,2,17.39
Aryan,37,Male,44.2,1.5,194,154,74,1.11,612,Cardio,24,3.5,2,2,20.62
Vivaan,18,Female,46,1.79,177,140,68,2,1386,Cardio,23.6,3.2,3,2,18
Vivaan,18,Male,74.8,1.76,186,134,68,0.5,1783,Cardio,21.8,3.5,4,3,23.47
Riya,54,Male,46.3,1.62,161,138,60,1.03,1175,HIIT,32.2,2.5,4,2,19.44
Krishna,24,Male,87.1,1.9,196,122,51,1.42,1153,Yoga,27.6,3.3,3,1,36.55
Riya,43,Female,40,1.89,169,134,54,0.57,1267,HIIT,21.4,1.5,4,2,12.32
Vihaan,18,Female,49.3,1.71,162,160,52,1.23,375,Yoga,29.4,3.4,5,,14.06
Saanvi,18,Female,67.9,1.81,194,137,73,1.19,1405,Cardio,33.8,3.2,2,1,12.32
Reyansh,33,Male,49.7,1.82,179,169,71,1.55,968,Cardio,32.2,3.6,4,3,21.87
Sara,49,Male,88.4,1.75,192,145,74,1.27,493,Yoga,23.5,2.2,3,1,12.42
Sara,48,Male,45.8,,167,135,53,1.28,1239,Strength,24.5,1.6,4,,19.27
Reyansh,19,Male,129.9,1.82,182,158,70,1.44,1155,Cardio,20.2,3.6,,1,17.37
Aryan,35,Male,40.3,1.79,183,120,68,1.24,1420,Strength,14.5,1.7,5,1,13.37
Arjun,34,Male,72.1,1.78,167,163,58,0.84,536,HIIT,12.1,2.9,3,2,12.32
Arjun,50,Female,103.8,1.54,185,169,56,2,766,HIIT,27.3,3.1,3,1,12.32
Saanvi,18,Male,41,1.97,189,149,63,1.64,596,Strength,,1.8,2,2,12.32
Advait,36,Female,85.1,1.73,194,156,74,1.41,1024,Cardio,28.9,3.5,4,3,13.22
Saanvi,18,Male,81,1.64,175,169,74,1.99,878,Yoga,21.7,1.5,2,3,13.42
Aarav,47,Female,74.1,1.87,168,123,70,0.95,1030,Yoga,14.8,1.5,3,1,21.54
Riya,32,,72.1,1.71,173,156,72,1.61,606,HIIT,12,2.7,2,2,17.91
Kabir,45,Female,47.9,1.71,194,169,70,0.78,772,HIIT,23.5,2.8,3,2,20.37
Advait,25,Male,113.3,1.75,187,155,74,1.44,564,Strength,22.1,1.6,3,2,21.36
Vihaan,23,Male,56.8,1.83,197,152,56,1.22,1193,Cardio,23.2,1.6,4,2,
Tia,23,Female,78.2,1.9,180,131,55,0.85,888,Strength,16.2,2.3,3,1,29.89
Aanya,25,Male,40,1.68,175,123,66,0.74,1783,Strength,27.9,3.5,3,3,14.27
Anaya,59,Male,40,1.78,179,139,59,1.16,483,HIIT,19.7,3.7,,1,19.22
Saanvi,23,Female,69.2,1.73,180,165,70,2,765,HIIT,23.3,1.8,4,2,21.96
Kabir,48,Female,91.3,1.58,175,152,72,1.25,1576,Yoga,28.9,3.4,2,2,19.62
Aarav,46,Male,68.2,1.88,172,167,70,1.41,723,Strength,17.2,2.6,5,1,32.75
Krishna,18,Female,45.1,1.86,182,169,64,0.92,1482,Strength,25.5,3.7,2,3,18.99
